CASE,AH,APH,Month_H,Day_H,Hour_H,AC,APC,Month_C,Day_C,Hour_C
195,4.293074,2.032,jan,4,8,0.510431,0.75,jul,26,17
200,6.17386,2.874,jan,4,9,0.678781,1.031,jul,26,17
210,7.389099,3.013,jan,4,9,0.242606,0.77,jul,27,17
215,7.173838,3.332,jan,4,9,0.776153,1.191,jul,26,16
220,8.36272,3.497,jan,4,9,0.345669,0.951,jul,27,16
230,11.868435,5.065,jan,4,9,0.630241,1.466,jul,27,16
240,7.033078,3.315,jan,4,9,0.609581,1.133,jul,27,16
250,6.47334,3.463,jan,4,9,1.860241,1.891,jul,27,16
270,4.93894,3.455,jan,4,8,8.605058,6.332,nov,25,15
280,5.292689,3.454,jan,4,8,5.387523,4.321,nov,25,15
290,4.977575,3.443,jan,4,8,6.610973,6.125,nov,25,15
300,5.284002,3.452,jan,4,8,5.532185,4.01,jun,30,18
310,5.679677,3.446,jan,4,8,3.931409,3.255,jun,30,18
320,4.153848,3.44,jan,4,8,5.605207,5.517,nov,25,15
395,5.583331,2.134,jan,4,9,0,0,jan,1,2
400,8.28007,3.497,jan,4,9,0.000621,0.212,jul,27,18
410,10.018409,4.281,jan,4,9,0.003933,0.358,jul,27,18
420,8.676137,4.099,jan,4,9,0.024613,0.585,jul,27,17
430,6.674122,4.064,jan,4,9,0.547843,1.451,jul,27,16
440,4.802398,4.038,jan,4,8,4.369224,4.312,oct,16,15
600,4.430847,4.027,jan,4,8,6.973193,5.987,oct,16,15
600FF,6.959888,8.849,jan,4,9,11.950236,9.414,oct,17,16
610,4.555807,4.024,jan,4,8,5.050056,5.601,nov,25,15
620,4.920946,4.036,jan,4,8,4.51893,4.253,jun,30,18
630,5.412867,4.043,jan,4,8,2.914506,3.377,jul,26,18
800,6.130548,3.879,jan,4,9,0.166609,0.979,jul,27,16
810,2.23572,3.564,jan,4,9,1.512659,2.31,sep,2,16
900,1.330031,3.413,jan,4,9,3.058696,3.254,oct,16,16
900FF,4.844852,8.374,jan,4,9,3.776953,4.324,sep,2,16
910,1.631653,3.428,jan,4,9,1.657599,2.647,oct,16,16
920,3.571448,3.736,jan,4,9,2.968062,3.126,jul,26,18
930,4.404178,3.783,jan,4,9,1.832148,2.495,jul,26,18
960,3.470843,2.706,jan,4,9,0.625981,1.241,jul,27,17
