CASE,ESP,BLAST,DOE2,SRES/SUN,SERIRES,S3PAS,TRNSYS,TASE
600,3.437,3.94,4.045,4.258,4.307,4.037,3.931,4.354
610,3.437,3.941,4.034,4.258,4.306,4.037,3.922,4.354
620,3.591,3.941,4.046,4.277,4.306,4.277,3.922,4.379
630,3.592,3.941,4.025,4.28,4.306,4.278,3.922,4.379
900,2.85,3.453,3.557,3.76,4.081,3.608,3.517,3.797
910,2.858,3.456,3.564,3.764,4.083,3.618,3.536,3.801
920,3.308,3.703,3.805,4.013,4.156,4.029,3.708,4.061
930,3.355,3.732,3.832,4.042,4.165,4.064,3.744,4.188
960,2.41,2.751,2.727,2.863,2.896,2.852,2.522,2.779
195,2.004,2.186,2.32,2.385,2.235,2.221,2.186,2.263
200,2.651,2.973,,,3.047,2.999,2.969,3.382
210,2.701,2.973,,,3.077,3.02,2.981,3.325
215,2.787,3.28,,,3.65,3.307,3.294,3.458
220,2.867,3.28,3.465,3.695,3.709,3.348,3.336,3.52
230,4.386,4.984,4.994,5.279,5.293,5.159,4.892,5.107
240,2.685,3.1,3.282,3.495,3.509,3.159,3.153,3.333
250,2.866,3.279,3.465,3.695,3.709,3.341,3.336,3.525
270,2.863,3.277,,3.67,3.714,3.34,3.336,3.738
280,2.864,3.278,,3.685,3.714,3.341,3.336,3.759
290,2.863,3.277,,3.67,3.714,3.34,3.328,3.738
300,3.014,3.276,,3.685,3.714,3.599,3.328,3.77
310,3.015,3.277,,3.672,3.714,3.599,3.328,3.771
320,2.861,3.275,,3.661,3.714,3.34,3.336,3.735
395,2.062,2.209,2.328,2.385,2.391,2.263,2.221,2.27
400,2.867,3.28,3.476,3.695,3.709,3.342,3.336,3.52
410,3.625,4.124,4.233,4.487,4.501,4.227,4.114,4.314
420,3.443,3.944,4.05,4.287,4.301,4.044,3.931,4.126
430,3.442,3.944,4.05,4.287,4.301,4.044,3.931,4.137
440,3.439,3.942,,4.277,4.306,4.041,3.931,4.376
800,3.227,3.793,3.909,4.138,4.188,3.902,3.786,3.939
810,2.979,3.566,,3.915,4.115,3.709,3.606,3.963
